text,label
I'm so furious with you right now.,Angry
My day is ruined because of this crap.,Angry
I feel like I'm about to explode.,Angry
This is the worst day of my life.,Angry
I hate everything about this situation.,Angry
"I'm beyond angry, I'm livid right now.",Angry
My blood is boiling just thinking about it.,Angry
I'm fed up with all these lies and excuses.,Angry
This is seriously pissing me off right now.,Angry
I've had enough of your nonsense already.,Angry
I'm so furious about what you just said.,Angry
My day is ruined because of that idiot.,Angry
I'm literally shaking with rage right now.,Angry
I hate everything about this situation right now.,Angry
I'm so done with your lies and excuses.,Angry
That was the most infuriating thing I've ever seen.,Angry
I'm at my breaking point with all this stress.,Angry
My anger is boiling over and I'm exploding.,Angry
This is absolutely unacceptable and I'm fed up.,Angry
I'm so annoyed with this traffic right now.,Angry
My boss is really getting on my nerves today.,Angry
I'm frustrated with this slow internet connection.,Angry
I hate it when people don't respond to texts.,Angry
This homework is really pissing me off tonight.,Angry
I'm fed up with these long lines everywhere.,Angry
My day just got ruined by bad news.,Angry
I'm irritated by all these spam calls lately.,Angry
I'm so done with this broken printer already.,Angry
I'm really annoyed with my roommate's mess.,Angry
I'm so frustrated with this traffic right now.,Angry
"Ugh, my boss is being super annoying today.",Angry
I'm really mad at myself for forgetting that.,Angry
This rain is ruining my whole day somehow.,Angry
I'm getting really irritated with this slow Wi-Fi.,Angry
My neighbor's music is driving me crazy again.,Angry
I'm fed up with this homework assignment already.,Angry
Today's commute was a total nightmare for me.,Angry
I'm so annoyed that my favorite show got cancelled.,Angry
My sibling is being super annoying right now too.,Angry
I'm really frustrated with this situation right now.,Angry
My day just got a lot worse suddenly.,Angry
I'm so annoyed with this traffic jam already.,Angry
I feel angry about what you just said.,Angry
This is really pissing me off right now.,Angry
I'm fed up with all these mistakes lately.,Angry
My patience is wearing thin today somehow.,Angry
I'm getting really irritated with this noise.,Angry
This whole thing is just infuriating me now.,Angry
I'm seriously annoyed at you right now dude.,Angry
"Ugh, my boss is really frustrating me today.",Angry
I'm so annoyed with this traffic right now man.,Angry
My sister is being super annoying lately.,Angry
I hate it when people don't listen to me.,Angry
This homework is pissing me off so much already.,Angry
I'm fed up with waiting for this bus still.,Angry
My mom's constant nagging is driving me crazy.,Angry
I'm really angry about what he said to me yesterday.,Angry
The noise in this apartment complex is infuriating me.,Angry
This customer service rep is not helping at all!,Angry
I'm so frustrated with this traffic jam right now.,Angry
My boss is really pissing me off today somehow.,Angry
I'm getting annoyed with all these spam calls lately.,Angry
Today was a pretty crappy day for me overall.,Angry
I feel really angry about what happened last night.,Angry
My neighbor's noise is driving me insane tonight.,Angry
I'm fed up with all these errors on my bill.,Angry
This project is giving me so much stress already.,Angry
I'm really upset about what you said to me earlier.,Angry
My internet connection is infuriating me right now.,Angry
I'm so fed up with this stupid traffic jam.,Angry
My boss is literally driving me insane today.,Angry
I'm beyond furious about what he just said.,Angry
Today has been a complete and utter disaster.,Angry
My day just went from bad to worse instantly.,Angry
I'm seriously about to lose my temper here.,Angry
This is the worst day of my life so far.,Angry
I'm so angry I could scream right now honestly.,Angry
"I'm fuming about what just happened, so unfair.",Angry
I'm really frustrated with this traffic jam right now.,Angry
I feel annoyed with my neighbor's loud music again.,Angry
This project is driving me crazy today somehow.,Angry
I'm so fed up with this slow internet connection.,Angry
My boss is really getting on my nerves lately.,Angry
This rain is totally ruining my outdoor plans today.,Angry
I feel irritated with my friend's constant cancellations.,Angry
This noise pollution is really bothering me right now.,Angry
My boss is really pissing me off today.,Angry
I feel really annoyed with my roommate's mess.,Angry
I'm getting tired of people cutting me off.,Angry
Today has been a pretty annoying day so far.,Angry
I feel angry about what happened last night.,Angry
My neighbor's noise is driving me crazy again.,Angry
I'm fed up with waiting in these long lines.,Angry
I feel irritated with my phone's battery life today.,Angry
This stupid project is really stressing me out now.,Angry
I'm fed up with these constant delays already.,Angry
This noise is driving me absolutely crazy.,Angry
I'm getting really annoyed with my roommate.,Angry
Today has been a total disaster so far.,Angry
I'm still fuming about what he said yesterday.,Angry
This situation is really getting on my nerves.,Angry
I'm so sick of being stuck in this queue.,Angry
My computer is seriously infuriating me right now.,Angry
I'm so frustrated with this traffic jam today.,Angry
Can't believe my phone died again already.,Angry
"Ugh, my boss is being super unreasonable today.",Angry
I'm really annoyed at my little brother right now.,Angry
Why does everything always go wrong for me?,Angry
My internet connection is driving me crazy today,Angry
I hate when people cut in front of me,Angry
