tid	text	admiration	amusement	anger	annoyance	approval	boredom	calmness	caring	courage	curiosity	desire	despair	disappointment	disapproval	disgust	doubt	embarrassment	envy	excitement	faith	fear	frustration	gratitude	greed	grief	guilt	indifference	joy	love	nervousness	nostalgia	optimism	pain	pride	relief	sadness	surprise	trust
4900	I. ZANGWILL, _Pall Mall Magazine_, says: 'Bryn, the heroine, is a charming creature, and some of the scenes with her half-crazed dying sister reveal strong imaginative power.'	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5311	Really," she continued, dropping the glass and resuming her scissors, "I am growing quite proud of you--I am indeed."	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5613	It glitters like a new jewel, and might have been built but yesterday.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6725	Both have been at anchor for about four years, and are practically unseaworthy and useless.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7512	The voice finally disappears so completely that it is not heard above a whisper, and the greatest pain and harassing symptoms of suffocation do not enable the child to utter a loud sound.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7652	The words horror and indignation seem infantile to express the emotions called forth by the contemplation of such things.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7941	It is too dark to see or to write and the ship pitches and dives terribly.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8364	All manner of debauchery that can be thought of is practiced here."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9757	No vindication could be more complete, no condemnation could be more absolute and humiliating.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9771	but some went off into uncontrollable fits of laughter, which did not disturb the gravity of the rest of the assembly.	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10179	There was nothing else for it but to kill time walking about.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12004	He then went into a detail of his own juvenile indiscretions, relating many incidents of his life; some of which were amusing, some ridiculous, some tragic, some pathetic, and not a few quite indecent.	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
12641	The exception is a poem in which the usual vagueness and emptiness of sentiment assumes substance from its pastoral setting.	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13083	The fickleness of the mob is shown in a spirit of comedy; the antagonism of Marullus and Flavius strikes the note of tragedy.	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
13233	But day passed after day without bringing any answer to John's letter.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13615	A strange short day, cut off like my legs, with empty mysterious spaces, long hours of unconsciousness or apathy, about which I could remember nothing.	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14751	Nothing is more weakening and more to be avoided than repentance," he often said; "the acknowledgment that we have made a mistake must come, quick and sharp, but then we must reconcile ourselves to circumstances.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
